SNo,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
80,Keyonte George,UTA,21,67,13,54,31.5,16.8,5.4,13.7,39.1,2.6,7.6,34.3,3.5,4.3,81.8,0.4,3.4,3.8,5.6,2.7,0.7,0.1,1.7,29.5,4.0,0.0,-7.6
81,Ivica Zubac,LAC,28,80,50,30,32.8,16.8,7.4,11.8,62.8,0.0,0.0,0.0,2.0,3.0,66.1,3.8,8.9,12.6,2.7,1.6,0.7,1.1,2.1,39.8,59.0,1.0,6.4
82,Derrick White,BOS,30,76,58,18,33.9,16.4,5.6,12.6,44.2,3.5,9.1,38.4,1.8,2.1,83.9,0.9,3.6,4.5,4.8,1.7,0.9,1.1,1.8,33.2,4.0,0.0,7.1
83,Malik Beasley,DET,28,82,44,38,27.8,16.3,5.6,13.1,43.0,3.9,9.3,41.6,1.2,1.7,67.9,0.6,2.0,2.6,1.7,1.0,0.9,0.1,1.5,23.8,1.0,0.0,2.1
84,Devin Vassell,SAS,24,64,24,40,31.0,16.3,6.2,13.9,44.3,2.5,6.7,36.8,1.5,1.9,79.2,0.5,3.5,4.0,2.9,1.4,1.3,0.5,1.7,29.4,2.0,0.0,-4.1
85,Paul George,PHI,34,41,15,26,32.5,16.2,6.0,13.9,43.0,2.3,6.5,35.8,1.9,2.4,81.4,0.6,4.8,5.3,4.3,2.6,1.8,0.5,2.5,33.5,3.0,0.0,-2.0
86,Jordan Clarkson,UTA,32,37,10,27,26.0,16.2,5.4,13.3,40.8,2.3,6.3,36.2,3.1,3.9,79.7,0.7,2.5,3.2,3.7,2.3,0.8,0.2,1.4,26.6,0.0,0.0,-5.5
87,Jalen Suggs,ORL,23,35,20,15,28.6,16.2,5.6,13.7,41.0,2.2,6.9,31.4,2.8,3.1,88.2,0.7,3.4,4.0,3.7,2.9,1.5,0.9,2.8,30.8,0.0,0.0,0.1
88,Bennedict Mathurin,IND,22,72,43,29,29.9,16.1,5.4,11.8,45.8,1.4,4.0,34.0,3.8,4.6,83.1,1.2,4.1,5.3,1.9,1.9,0.7,0.3,2.3,26.4,8.0,0.0,1.3
89,Myles Turner,IND,29,72,44,28,30.2,15.6,5.4,11.3,48.1,2.2,5.5,39.6,2.6,3.3,77.3,1.3,5.3,6.5,1.5,1.7,0.8,2.0,2.5,32.3,13.0,0.0,2.8
